artist_name,artist_count,country,,,,,,,,,
FMK,2,Argentina,,,,,,,,,
Fifty Fifty,2,South Korea,,,,,,,,,
Frank Ocean,2,United States of America,,,,,,,,,
Frank Sinatra,2,United States of America,,,,,,,,,
Gabito Ballesteros,2,United States of America,,,,,,,,,
Gesaffelstein,2,France,,,,,,,,,
Giveon,2,United States of America,,,,,,,,,
Grupo Marca Registrada,2,United Kingdom,,,,,,,,,
Hotel Ugly,2,United States of America,,,,,,,,,
Israel & Rodolffo,2,Belgium,,,,,,,,,
JID,2,United States of America,,,,,,,,,
James Arthur,2,United Kingdom,,,,,,,,,
Jasiel Nunez,2,Mexico,,,,,,,,,
Jax Jones,2,United Kingdom,,,,,,,,,
Jhayco,2,United States of America,,,,,,,,,
John Legend,2,United States of America,,,,,,,,,
Justin Quiles,2,United States of America,,,,,,,,,
Kaliii,2,United States of America,,,,,,,,,
Khalid,2,United States of America,,,,,,,,,
Kumaar,2,India,,,,,,,,,
League of Legends,2,United States of America,,,,,,,,,
Lenny Tavarez,2,Puerto Rico,,,,,,,,,
Lil Wayne,2,United States of America,,,,,,,,,
Linkin Park,2,United States of America,,,,,,,,,
Lisa,2,Japan,,,,,,,,,
Lit Killah,2,Argentina,,,,,,,,,
Luciano,2,Chile,,,,,,,,,
Luis R Conriquez,2,France,,,,,,,,,
Mambo Kingz,2,United States of America,,,,,,,,,
Mari Fernandez,2,Brazil,,,,,,,,,
Maroon 5,2,United States of America,,,,,,,,,
Mc Pedrinho,2,Brazil,,,,,,,,,
Michael Buble,2,Canada,,,,,,,,,
Miley Cyrus,2,United States of America,,,,,,,,,
Muni Long,2,United States of America,,,,,,,,,
NICKI NICOLE,2,Italy,,,,,,,,,
NLE Choppa,2,United States of America,,,,,,,,,
Nat King Cole,2,United States of America,,,,,,,,,
Nengo Flow,2,Puerto Rico,,,,,,,,,
Nile Rodgers,2,United States of America,,,,,,,,,
Nirvana,2,United States of America,,,,,,,,,
Offset,2,Italy,,,,,,,,,
OneRepublic,2,United States of America,,,,,,,,,
Ovy On The Drums,2,Colombia,,,,,,,,,
Peso P,2,Mexico,,,,,,,,, 
PinkPantheress,2,Japan,,,,,,,,,
Playboi Carti,2,United States of America,,,,,,,,,
Polo G,2,United States of America,,,,,,,,,
RAYE,2,Canada,,,,,,,,,
RM,2,South Korea,,,,,,,,,
Rihanna,2,United States of America,,,,,,,,,
Rosa Linn,2,Sweden,,,,,,,,,
